city,checkin,checkout,hotel_name,price,rating,stars,distance_km,breakfast,review_count,month,day_of_week,is_weekend,stay_length
prague,2026-04-21,2026-04-22,"STAGES HOTEL Prague, a Tribute Portfolio Hotel",1998,9.4,8.0,5.6,True,17677.0,4,1,0,1
prague,2026-04-21,2026-04-22,The Cloud One Prague,5650,8.7,8.0,1.0,False,5743.0,4,1,0,1
prague,2026-04-21,2026-04-22,Grandium Hotel Prague,4071,8.6,10.0,0.8,True,13996.0,4,1,0,1
prague,2026-04-21,2026-04-22,Motel One Prague-Florentinum,3950,8.7,6.0,1.0,False,4953.0,4,1,0,1
prague,2026-04-21,2026-04-22,Narodni Stay,2197,8.3,6.0,0.6,False,6019.0,4,1,0,1
prague,2026-04-21,2026-04-22,City Central De Luxe,2389,7.6,6.0,1.6,True,6866.0,4,1,0,1
prague,2026-04-21,2026-04-22,Adria Hotel Prague,1994,8.1,8.0,0.6,True,1290.0,4,1,0,1
prague,2026-04-21,2026-04-22,Congress & Wellness Hotel Olsanka,1845,7.8,8.0,2.7,False,9767.0,4,1,0,1
prague,2026-04-21,2026-04-22,Grandior Hotel Prague,3052,8.9,10.0,1.1,False,11774.0,4,1,0,1
prague,2026-04-21,2026-04-22,Old Royal Post Boutique Hotel & Premium Suites,3151,9.7,10.0,1.2,False,2306.0,4,1,0,1
prague,2026-04-21,2026-04-22,Ibis Praha Old Town,3458,8.1,6.0,0.7,False,5017.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Bologna,2191,8.6,8.0,0.6,True,10861.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Globus,2145,8.4,6.0,7.1,True,10436.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Essence,4704,9.2,8.0,0.6,False,3098.0,4,1,0,1
prague,2026-04-21,2026-04-22,A1 Royal Plaza,2399,9.0,6.0,1.3,False,3956.0,4,1,0,1
prague,2026-04-21,2026-04-22,NYX Hotel Prague by Leonardo Hotels,3235,8.7,8.0,0.6,False,4952.0,4,1,0,1
prague,2026-04-21,2026-04-22,Maximilian Hotel,12040,9.3,8.0,0.45,False,730.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Raffaello Prague,2008,8.4,8.0,1.6,True,2465.0,4,1,0,1
prague,2026-04-21,2026-04-22,Ambassador Zlata Husa,3647,8.3,10.0,0.45,True,1962.0,4,1,0,1
prague,2026-04-21,2026-04-22,Numa Prague Libusa,3292,9.0,8.0,1.4,False,957.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Atos,2096,8.5,6.0,1.4,True,7802.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Ehrlich Prague,2363,8.7,8.0,3.0,True,1283.0,4,1,0,1
prague,2026-04-21,2026-04-22,Petrin Tower Residence,3369,9.1,8.0,1.3,False,5024.0,4,1,0,1
prague,2026-04-21,2026-04-22,"STAGES HOTEL Prague, a Tribute Portfolio Hotel",1998,9.4,8.0,5.6,True,17677.0,4,1,0,1
prague,2026-04-21,2026-04-22,The Cloud One Prague,5650,8.7,8.0,1.0,False,5743.0,4,1,0,1
prague,2026-04-21,2026-04-22,Grandium Hotel Prague,4071,8.6,10.0,0.8,True,13996.0,4,1,0,1
prague,2026-04-21,2026-04-22,Motel One Prague-Florentinum,3950,8.7,6.0,1.0,False,4953.0,4,1,0,1
prague,2026-04-21,2026-04-22,Narodni Stay,2197,8.3,6.0,0.6,False,6019.0,4,1,0,1
prague,2026-04-21,2026-04-22,City Central De Luxe,2389,7.6,6.0,1.6,True,6866.0,4,1,0,1
prague,2026-04-21,2026-04-22,Adria Hotel Prague,1994,8.1,8.0,0.6,True,1290.0,4,1,0,1
prague,2026-04-21,2026-04-22,Congress & Wellness Hotel Olsanka,1845,7.8,8.0,2.7,False,9767.0,4,1,0,1
prague,2026-04-21,2026-04-22,Grandior Hotel Prague,3052,8.9,10.0,1.1,False,11774.0,4,1,0,1
prague,2026-04-21,2026-04-22,Old Royal Post Boutique Hotel & Premium Suites,3151,9.7,10.0,1.2,False,2306.0,4,1,0,1
prague,2026-04-21,2026-04-22,Ibis Praha Old Town,3458,8.1,6.0,0.7,False,5017.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Bologna,2191,8.6,8.0,0.6,True,10861.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Globus,2145,8.4,6.0,7.1,True,10436.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Essence,4704,9.2,8.0,0.6,False,3098.0,4,1,0,1
prague,2026-04-21,2026-04-22,A1 Royal Plaza,2399,9.0,6.0,1.3,False,3956.0,4,1,0,1
prague,2026-04-21,2026-04-22,NYX Hotel Prague by Leonardo Hotels,3235,8.7,8.0,0.6,False,4952.0,4,1,0,1
prague,2026-04-21,2026-04-22,Maximilian Hotel,12040,9.3,8.0,0.45,False,730.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Raffaello Prague,2008,8.4,8.0,1.6,True,2465.0,4,1,0,1
prague,2026-04-21,2026-04-22,Ambassador Zlata Husa,3647,8.3,10.0,0.45,True,1962.0,4,1,0,1
prague,2026-04-21,2026-04-22,Numa Prague Libusa,3292,9.0,8.0,1.4,False,957.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Atos,2096,8.5,6.0,1.4,True,7802.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Ehrlich Prague,2363,8.7,8.0,3.0,True,1283.0,4,1,0,1
prague,2026-04-21,2026-04-22,Petrin Tower Residence,3369,9.1,8.0,1.3,False,5024.0,4,1,0,1
prague,2026-04-21,2026-04-22,"STAGES HOTEL Prague, a Tribute Portfolio Hotel",1998,9.4,8.0,5.6,True,17677.0,4,1,0,1
prague,2026-04-21,2026-04-22,The Cloud One Prague,5650,8.7,8.0,1.0,False,5743.0,4,1,0,1
prague,2026-04-21,2026-04-22,Grandium Hotel Prague,4071,8.6,10.0,0.8,True,13996.0,4,1,0,1
prague,2026-04-21,2026-04-22,Motel One Prague-Florentinum,3950,8.7,6.0,1.0,False,4953.0,4,1,0,1
prague,2026-04-21,2026-04-22,Narodni Stay,2197,8.3,6.0,0.6,False,6019.0,4,1,0,1
prague,2026-04-21,2026-04-22,City Central De Luxe,2389,7.6,6.0,1.6,True,6866.0,4,1,0,1
prague,2026-04-21,2026-04-22,Adria Hotel Prague,1994,8.1,8.0,0.6,True,1290.0,4,1,0,1
prague,2026-04-21,2026-04-22,Congress & Wellness Hotel Olsanka,1845,7.8,8.0,2.7,False,9767.0,4,1,0,1
prague,2026-04-21,2026-04-22,Grandior Hotel Prague,3052,8.9,10.0,1.1,False,11774.0,4,1,0,1
prague,2026-04-21,2026-04-22,Old Royal Post Boutique Hotel & Premium Suites,3151,9.7,10.0,1.2,False,2306.0,4,1,0,1
prague,2026-04-21,2026-04-22,Ibis Praha Old Town,3458,8.1,6.0,0.7,False,5017.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Bologna,2191,8.6,8.0,0.6,True,10861.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Globus,2145,8.4,6.0,7.1,True,10436.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Essence,4704,9.2,8.0,0.6,False,3098.0,4,1,0,1
prague,2026-04-21,2026-04-22,A1 Royal Plaza,2399,9.0,6.0,1.3,False,3956.0,4,1,0,1
prague,2026-04-21,2026-04-22,NYX Hotel Prague by Leonardo Hotels,3235,8.7,8.0,0.6,False,4952.0,4,1,0,1
prague,2026-04-21,2026-04-22,Maximilian Hotel,12040,9.3,8.0,0.45,False,730.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Raffaello Prague,2008,8.4,8.0,1.6,True,2465.0,4,1,0,1
prague,2026-04-21,2026-04-22,Ambassador Zlata Husa,3647,8.3,10.0,0.45,True,1962.0,4,1,0,1
prague,2026-04-21,2026-04-22,Numa Prague Libusa,3292,9.0,8.0,1.4,False,957.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Atos,2096,8.5,6.0,1.4,True,7802.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Ehrlich Prague,2363,8.7,8.0,3.0,True,1283.0,4,1,0,1
prague,2026-04-21,2026-04-22,Petrin Tower Residence,3369,9.1,8.0,1.3,False,5024.0,4,1,0,1
prague,2026-04-21,2026-04-22,"STAGES HOTEL Prague, a Tribute Portfolio Hotel",1998,9.4,8.0,5.6,True,17677.0,4,1,0,1
prague,2026-04-21,2026-04-22,The Cloud One Prague,5650,8.7,8.0,1.0,False,5743.0,4,1,0,1
prague,2026-04-21,2026-04-22,Grandium Hotel Prague,4071,8.6,10.0,0.8,True,13996.0,4,1,0,1
prague,2026-04-21,2026-04-22,Motel One Prague-Florentinum,3950,8.7,6.0,1.0,False,4953.0,4,1,0,1
prague,2026-04-21,2026-04-22,Narodni Stay,2197,8.3,6.0,0.6,False,6019.0,4,1,0,1
prague,2026-04-21,2026-04-22,City Central De Luxe,2389,7.6,6.0,1.6,True,6866.0,4,1,0,1
prague,2026-04-21,2026-04-22,Adria Hotel Prague,1994,8.1,8.0,0.6,True,1290.0,4,1,0,1
prague,2026-04-21,2026-04-22,Congress & Wellness Hotel Olsanka,1845,7.8,8.0,2.7,False,9767.0,4,1,0,1
prague,2026-04-21,2026-04-22,Grandior Hotel Prague,3052,8.9,10.0,1.1,False,11774.0,4,1,0,1
prague,2026-04-21,2026-04-22,Old Royal Post Boutique Hotel & Premium Suites,3151,9.7,10.0,1.2,False,2306.0,4,1,0,1
prague,2026-04-21,2026-04-22,Ibis Praha Old Town,3458,8.1,6.0,0.7,False,5017.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Bologna,2191,8.6,8.0,0.6,True,10861.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Globus,2145,8.4,6.0,7.1,True,10436.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Essence,4704,9.2,8.0,0.6,False,3098.0,4,1,0,1
prague,2026-04-21,2026-04-22,A1 Royal Plaza,2399,9.0,6.0,1.3,False,3956.0,4,1,0,1
prague,2026-04-21,2026-04-22,NYX Hotel Prague by Leonardo Hotels,3235,8.7,8.0,0.6,False,4952.0,4,1,0,1
prague,2026-04-21,2026-04-22,Maximilian Hotel,10881,9.3,8.0,0.45,True,730.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Raffaello Prague,2008,8.4,8.0,1.6,True,2465.0,4,1,0,1
prague,2026-04-21,2026-04-22,Ambassador Zlata Husa,3647,8.3,10.0,0.45,True,1962.0,4,1,0,1
prague,2026-04-21,2026-04-22,Numa Prague Libusa,3292,9.0,8.0,1.4,False,957.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Atos,2096,8.5,6.0,1.4,True,7802.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Ehrlich Prague,2363,8.7,8.0,3.0,True,1283.0,4,1,0,1
prague,2026-04-21,2026-04-22,Petrin Tower Residence,3369,9.1,8.0,1.3,False,5024.0,4,1,0,1
prague,2026-04-21,2026-04-22,"STAGES HOTEL Prague, a Tribute Portfolio Hotel",1998,9.4,8.0,5.6,True,17677.0,4,1,0,1
prague,2026-04-21,2026-04-22,The Cloud One Prague,5650,8.7,8.0,1.0,False,5743.0,4,1,0,1
prague,2026-04-21,2026-04-22,Grandium Hotel Prague,4071,8.6,10.0,0.8,True,13996.0,4,1,0,1
prague,2026-04-21,2026-04-22,Motel One Prague-Florentinum,3950,8.7,6.0,1.0,False,4953.0,4,1,0,1
prague,2026-04-21,2026-04-22,Narodni Stay,2197,8.3,6.0,0.6,False,6019.0,4,1,0,1
prague,2026-04-21,2026-04-22,City Central De Luxe,2389,7.6,6.0,1.6,True,6866.0,4,1,0,1
prague,2026-04-21,2026-04-22,Adria Hotel Prague,1994,8.1,8.0,0.6,True,1290.0,4,1,0,1
prague,2026-04-21,2026-04-22,Congress & Wellness Hotel Olsanka,1845,7.8,8.0,2.7,False,9767.0,4,1,0,1
prague,2026-04-21,2026-04-22,Grandior Hotel Prague,2914,8.9,10.0,1.1,False,11774.0,4,1,0,1
prague,2026-04-21,2026-04-22,Old Royal Post Boutique Hotel & Premium Suites,3151,9.7,10.0,1.2,False,2306.0,4,1,0,1
prague,2026-04-21,2026-04-22,Ibis Praha Old Town,3458,8.1,6.0,0.7,False,5017.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Bologna,2133,8.6,8.0,0.6,True,10861.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Globus,2145,8.4,6.0,7.1,True,10436.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Essence,4704,9.2,8.0,0.6,False,3098.0,4,1,0,1
prague,2026-04-21,2026-04-22,A1 Royal Plaza,2399,9.0,6.0,1.3,False,3956.0,4,1,0,1
prague,2026-04-21,2026-04-22,NYX Hotel Prague by Leonardo Hotels,3235,8.7,8.0,0.6,False,4952.0,4,1,0,1
prague,2026-04-21,2026-04-22,Maximilian Hotel,10881,9.3,8.0,0.45,True,730.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Raffaello Prague,2008,8.4,8.0,1.6,True,2465.0,4,1,0,1
prague,2026-04-21,2026-04-22,Ambassador Zlata Husa,3647,8.3,10.0,0.45,True,1962.0,4,1,0,1
prague,2026-04-21,2026-04-22,Numa Prague Libusa,3292,9.0,8.0,1.4,False,957.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Atos,2096,8.5,6.0,1.4,True,7802.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Ehrlich Prague,2315,8.7,8.0,3.0,True,1283.0,4,1,0,1
prague,2026-04-21,2026-04-22,Petrin Tower Residence,3369,9.1,8.0,1.3,False,5024.0,4,1,0,1
prague,2026-04-21,2026-04-22,"STAGES HOTEL Prague, a Tribute Portfolio Hotel",1998,9.4,8.0,5.6,True,17677.0,4,1,0,1
prague,2026-04-21,2026-04-22,The Cloud One Prague,5650,8.7,8.0,1.0,False,5743.0,4,1,0,1
prague,2026-04-21,2026-04-22,Grandium Hotel Prague,4071,8.6,10.0,0.8,True,13996.0,4,1,0,1
prague,2026-04-21,2026-04-22,Motel One Prague-Florentinum,3950,8.7,6.0,1.0,False,4953.0,4,1,0,1
prague,2026-04-21,2026-04-22,Narodni Stay,2197,8.3,6.0,0.6,False,6019.0,4,1,0,1
prague,2026-04-21,2026-04-22,City Central De Luxe,2389,7.6,6.0,1.6,True,6866.0,4,1,0,1
prague,2026-04-21,2026-04-22,Adria Hotel Prague,1994,8.1,8.0,0.6,True,1290.0,4,1,0,1
prague,2026-04-21,2026-04-22,Congress & Wellness Hotel Olsanka,1845,7.8,8.0,2.7,False,9767.0,4,1,0,1
prague,2026-04-21,2026-04-22,Grandior Hotel Prague,2914,8.9,10.0,1.1,False,11774.0,4,1,0,1
prague,2026-04-21,2026-04-22,Old Royal Post Boutique Hotel & Premium Suites,3151,9.7,10.0,1.2,False,2306.0,4,1,0,1
prague,2026-04-21,2026-04-22,Ibis Praha Old Town,3458,8.1,6.0,0.7,False,5017.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Bologna,2133,8.6,8.0,0.6,True,10861.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Globus,2145,8.4,6.0,7.1,True,10436.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Essence,4704,9.2,8.0,0.6,False,3098.0,4,1,0,1
prague,2026-04-21,2026-04-22,A1 Royal Plaza,2399,9.0,6.0,1.3,False,3956.0,4,1,0,1
prague,2026-04-21,2026-04-22,NYX Hotel Prague by Leonardo Hotels,3235,8.7,8.0,0.6,False,4952.0,4,1,0,1
prague,2026-04-21,2026-04-22,Maximilian Hotel,10881,9.3,8.0,0.45,True,730.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Raffaello Prague,2008,8.4,8.0,1.6,True,2465.0,4,1,0,1
prague,2026-04-21,2026-04-22,Ambassador Zlata Husa,3647,8.3,10.0,0.45,True,1962.0,4,1,0,1
prague,2026-04-21,2026-04-22,Numa Prague Libusa,3292,9.0,8.0,1.4,False,957.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Atos,2096,8.5,6.0,1.4,True,7802.0,4,1,0,1
prague,2026-04-21,2026-04-22,Hotel Ehrlich Prague,2315,8.7,8.0,3.0,True,1283.0,4,1,0,1
prague,2026-04-21,2026-04-22,Petrin Tower Residence,3369,9.1,8.0,1.3,False,5024.0,4,1,0,1
prague,2026-04-21,2026-04-23,a&o Prague Rhea,2038,7.8,6.0,5.7,False,24685.0,4,1,0,2
prague,2026-04-21,2026-04-23,The Cloud One Prague,9400,8.7,8.0,1.0,False,5743.0,4,1,0,2
prague,2026-04-21,2026-04-23,Grandium Hotel Prague,7475,8.6,10.0,0.8,True,13996.0,4,1,0,2
prague,2026-04-21,2026-04-23,Motel One Prague-Florentinum,7400,8.7,6.0,1.0,False,4953.0,4,1,0,2
prague,2026-04-21,2026-04-23,Narodni Stay,4482,8.3,6.0,0.6,False,6019.0,4,1,0,2
prague,2026-04-21,2026-04-23,City Central De Luxe,4778,7.6,6.0,1.6,True,6866.0,4,1,0,2
prague,2026-04-21,2026-04-23,Adria Hotel Prague,4693,8.1,8.0,0.6,True,1290.0,4,1,0,2
prague,2026-04-21,2026-04-23,Congress & Wellness Hotel Olsanka,3350,7.8,8.0,2.7,False,9767.0,4,1,0,2
prague,2026-04-21,2026-04-23,Grandior Hotel Prague,10269,8.9,10.0,1.1,True,11774.0,4,1,0,2
prague,2026-04-21,2026-04-23,Old Royal Post Boutique Hotel & Premium Suites,7046,9.7,10.0,1.2,False,2306.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Bologna,6719,8.6,8.0,0.6,True,10861.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Globus,4290,8.4,6.0,7.1,True,10436.0,4,1,0,2
prague,2026-04-21,2026-04-23,A1 Royal Plaza,4798,9.0,6.0,1.3,False,3956.0,4,1,0,2
prague,2026-04-21,2026-04-23,NYX Hotel Prague by Leonardo Hotels,7062,8.7,8.0,0.6,False,4952.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Raffaello Prague,3881,8.4,8.0,1.6,True,2465.0,4,1,0,2
prague,2026-04-21,2026-04-23,Ambassador Zlata Husa,6359,8.3,10.0,0.45,True,1962.0,4,1,0,2
prague,2026-04-21,2026-04-23,Numa Prague Libusa,5801,9.0,8.0,1.4,False,957.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Atos,4193,8.5,6.0,1.4,True,7802.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Ehrlich Prague,4826,8.7,8.0,3.0,False,1283.0,4,1,0,2
prague,2026-04-21,2026-04-23,Petrin Tower Residence,6129,9.1,8.0,1.3,False,5024.0,4,1,0,2
prague,2026-04-21,2026-04-23,a&o Prague Rhea,2125,7.8,6.0,5.7,False,24685.0,4,1,0,2
prague,2026-04-21,2026-04-23,The Cloud One Prague,9400,8.7,8.0,1.0,False,5743.0,4,1,0,2
prague,2026-04-21,2026-04-23,Grandium Hotel Prague,7475,8.6,10.0,0.8,True,13996.0,4,1,0,2
prague,2026-04-21,2026-04-23,Motel One Prague-Florentinum,7400,8.7,6.0,1.0,False,4953.0,4,1,0,2
prague,2026-04-21,2026-04-23,Narodni Stay,4482,8.3,6.0,0.6,False,6019.0,4,1,0,2
prague,2026-04-21,2026-04-23,City Central De Luxe,4778,7.6,6.0,1.6,True,6866.0,4,1,0,2
prague,2026-04-21,2026-04-23,Adria Hotel Prague,4693,8.1,8.0,0.6,True,1290.0,4,1,0,2
prague,2026-04-21,2026-04-23,Congress & Wellness Hotel Olsanka,3350,7.8,8.0,2.7,False,9767.0,4,1,0,2
prague,2026-04-21,2026-04-23,Grandior Hotel Prague,10104,8.9,10.0,1.1,True,11774.0,4,1,0,2
prague,2026-04-21,2026-04-23,Old Royal Post Boutique Hotel & Premium Suites,7046,9.7,10.0,1.2,False,2306.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Bologna,6719,8.6,8.0,0.6,True,10861.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Globus,4290,8.4,6.0,7.1,True,10436.0,4,1,0,2
prague,2026-04-21,2026-04-23,A1 Royal Plaza,4798,9.0,6.0,1.3,False,3956.0,4,1,0,2
prague,2026-04-21,2026-04-23,NYX Hotel Prague by Leonardo Hotels,7062,8.7,8.0,0.6,False,4952.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Raffaello Prague,3881,8.4,8.0,1.6,True,2465.0,4,1,0,2
prague,2026-04-21,2026-04-23,Ambassador Zlata Husa,6359,8.3,10.0,0.45,True,1962.0,4,1,0,2
prague,2026-04-21,2026-04-23,Numa Prague Libusa,5801,9.0,8.0,1.4,False,957.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Atos,4193,8.5,6.0,1.4,True,7802.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Ehrlich Prague,4826,8.7,8.0,3.0,False,1283.0,4,1,0,2
prague,2026-04-21,2026-04-23,Petrin Tower Residence,6129,9.1,8.0,1.3,False,5024.0,4,1,0,2
prague,2026-04-21,2026-04-23,a&o Prague Rhea,2125,7.8,6.0,5.7,False,24685.0,4,1,0,2
prague,2026-04-21,2026-04-23,The Cloud One Prague,9400,8.7,8.0,1.0,False,5743.0,4,1,0,2
prague,2026-04-21,2026-04-23,Grandium Hotel Prague,7475,8.6,10.0,0.8,True,13996.0,4,1,0,2
prague,2026-04-21,2026-04-23,Motel One Prague-Florentinum,7400,8.7,6.0,1.0,False,4953.0,4,1,0,2
prague,2026-04-21,2026-04-23,Narodni Stay,4482,8.3,6.0,0.6,False,6019.0,4,1,0,2
prague,2026-04-21,2026-04-23,City Central De Luxe,4778,7.6,6.0,1.6,True,6866.0,4,1,0,2
prague,2026-04-21,2026-04-23,Adria Hotel Prague,4693,8.1,8.0,0.6,True,1290.0,4,1,0,2
prague,2026-04-21,2026-04-23,Congress & Wellness Hotel Olsanka,3350,7.8,8.0,2.7,False,9767.0,4,1,0,2
prague,2026-04-21,2026-04-23,Grandior Hotel Prague,10104,8.9,10.0,1.1,True,11774.0,4,1,0,2
prague,2026-04-21,2026-04-23,Old Royal Post Boutique Hotel & Premium Suites,7046,9.7,10.0,1.2,False,2306.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Bologna,6719,8.6,8.0,0.6,True,10861.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Globus,4290,8.4,6.0,7.1,True,10436.0,4,1,0,2
prague,2026-04-21,2026-04-23,A1 Royal Plaza,4798,9.0,6.0,1.3,False,3956.0,4,1,0,2
prague,2026-04-21,2026-04-23,NYX Hotel Prague by Leonardo Hotels,7062,8.7,8.0,0.6,False,4952.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Raffaello Prague,3881,8.4,8.0,1.6,True,2465.0,4,1,0,2
prague,2026-04-21,2026-04-23,Ambassador Zlata Husa,6359,8.3,10.0,0.45,True,1962.0,4,1,0,2
prague,2026-04-21,2026-04-23,Numa Prague Libusa,5801,9.0,8.0,1.4,False,957.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Atos,4193,8.5,6.0,1.4,True,7802.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Ehrlich Prague,4826,8.7,8.0,3.0,False,1283.0,4,1,0,2
prague,2026-04-21,2026-04-23,Petrin Tower Residence,6129,9.1,8.0,1.3,False,5024.0,4,1,0,2
prague,2026-04-21,2026-04-23,a&o Prague Rhea,2125,7.8,6.0,5.7,False,24685.0,4,1,0,2
prague,2026-04-21,2026-04-23,The Cloud One Prague,9400,8.7,8.0,1.0,False,5743.0,4,1,0,2
prague,2026-04-21,2026-04-23,Grandium Hotel Prague,7475,8.6,10.0,0.8,True,13996.0,4,1,0,2
prague,2026-04-21,2026-04-23,Motel One Prague-Florentinum,7400,8.7,6.0,1.0,False,4953.0,4,1,0,2
prague,2026-04-21,2026-04-23,Narodni Stay,4482,8.3,6.0,0.6,False,6019.0,4,1,0,2
prague,2026-04-21,2026-04-23,City Central De Luxe,4778,7.6,6.0,1.6,True,6866.0,4,1,0,2
prague,2026-04-21,2026-04-23,Adria Hotel Prague,4693,8.1,8.0,0.6,True,1290.0,4,1,0,2
prague,2026-04-21,2026-04-23,Congress & Wellness Hotel Olsanka,3350,7.8,8.0,2.7,False,9767.0,4,1,0,2
prague,2026-04-21,2026-04-23,Grandior Hotel Prague,10104,8.9,10.0,1.1,True,11774.0,4,1,0,2
prague,2026-04-21,2026-04-23,Old Royal Post Boutique Hotel & Premium Suites,7046,9.7,10.0,1.2,False,2306.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Bologna,6719,8.6,8.0,0.6,True,10861.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Globus,4290,8.4,6.0,7.1,True,10436.0,4,1,0,2
prague,2026-04-21,2026-04-23,A1 Royal Plaza,4798,9.0,6.0,1.3,False,3956.0,4,1,0,2
prague,2026-04-21,2026-04-23,NYX Hotel Prague by Leonardo Hotels,7062,8.7,8.0,0.6,False,4952.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Raffaello Prague,3881,8.4,8.0,1.6,True,2465.0,4,1,0,2
prague,2026-04-21,2026-04-23,Ambassador Zlata Husa,6359,8.3,10.0,0.45,True,1962.0,4,1,0,2
prague,2026-04-21,2026-04-23,Numa Prague Libusa,5801,9.0,8.0,1.4,False,957.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Atos,4193,8.5,6.0,1.4,True,7802.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Ehrlich Prague,4826,8.7,8.0,3.0,False,1283.0,4,1,0,2
prague,2026-04-21,2026-04-23,Petrin Tower Residence,6129,9.1,8.0,1.3,False,5024.0,4,1,0,2
prague,2026-04-21,2026-04-23,a&o Prague Rhea,2125,7.8,6.0,5.7,False,24685.0,4,1,0,2
prague,2026-04-21,2026-04-23,The Cloud One Prague,9400,8.7,8.0,1.0,False,5743.0,4,1,0,2
prague,2026-04-21,2026-04-23,Grandium Hotel Prague,7475,8.6,10.0,0.8,True,13996.0,4,1,0,2
prague,2026-04-21,2026-04-23,Motel One Prague-Florentinum,7400,8.7,6.0,1.0,False,4953.0,4,1,0,2
prague,2026-04-21,2026-04-23,Narodni Stay,4482,8.3,6.0,0.6,False,6019.0,4,1,0,2
prague,2026-04-21,2026-04-23,City Central De Luxe,4778,7.6,6.0,1.6,True,6866.0,4,1,0,2
prague,2026-04-21,2026-04-23,Adria Hotel Prague,4693,8.1,8.0,0.6,True,1290.0,4,1,0,2
prague,2026-04-21,2026-04-23,Congress & Wellness Hotel Olsanka,3350,7.8,8.0,2.7,False,9767.0,4,1,0,2
prague,2026-04-21,2026-04-23,Grandior Hotel Prague,10104,8.9,10.0,1.1,True,11774.0,4,1,0,2
prague,2026-04-21,2026-04-23,Old Royal Post Boutique Hotel & Premium Suites,7046,9.7,10.0,1.2,False,2306.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Bologna,6719,8.6,8.0,0.6,True,10861.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Globus,4290,8.4,6.0,7.1,True,10436.0,4,1,0,2
prague,2026-04-21,2026-04-23,A1 Royal Plaza,4798,9.0,6.0,1.3,False,3956.0,4,1,0,2
prague,2026-04-21,2026-04-23,NYX Hotel Prague by Leonardo Hotels,7062,8.7,8.0,0.6,False,4952.0,4,1,0,2
prague,2026-04-21,2026-04-23,Hotel Raffaello Prague,3881,8.4,8.0,1.6,True,2465.0,4,1,0,2
prague,2026-04-21,2026-04-23,Ambassador Zlata Husa,6359,8.3,10.0,0.45,True,1962.0,4,1,0,2
